,age,fnlwgt,education num,capital gain,capital loss,hours per week,workclass,education,marital status,occupation,relationship,race,native country,income
16,25.0,176756.0,9.0,0.0,0.0,42875.0,6.0,11.0,6.0,5.0,3.0,4.0,39.0,0.0
17,32.0,186824.0,9.0,0.0,0.0,64000.0,4.0,11.0,6.0,7.0,3.0,4.0,39.0,0.0
18,38.0,28887.0,7.0,0.0,0.0,125000.0,4.0,1.0,6.0,12.0,3.0,4.0,39.0,0.0
19,43.0,292175.0,14.0,0.0,0.0,91125.0,6.0,12.0,6.0,4.0,3.0,4.0,39.0,1.0
20,40.0,193524.0,16.0,0.0,0.0,216000.0,4.0,10.0,6.0,10.0,3.0,4.0,39.0,1.0
21,54.0,302146.0,9.0,0.0,0.0,8000.0,4.0,11.0,5.0,8.0,3.0,2.0,39.0,0.0
22,35.0,76845.0,5.0,0.0,0.0,64000.0,1.0,6.0,6.0,5.0,3.0,2.0,39.0,0.0
23,43.0,117037.0,7.0,0.0,2042.0,64000.0,4.0,1.0,6.0,14.0,3.0,4.0,39.0,0.0
24,59.0,109015.0,9.0,0.0,0.0,64000.0,4.0,11.0,6.0,13.0,3.0,4.0,39.0,0.0
25,56.0,216851.0,13.0,0.0,0.0,64000.0,2.0,9.0,6.0,13.0,3.0,4.0,39.0,1.0
26,19.0,168294.0,9.0,0.0,0.0,64000.0,4.0,11.0,6.0,1.0,3.0,4.0,39.0,0.0
27,54.0,180211.0,10.0,0.0,0.0,216000.0,0.0,15.0,6.0,0.0,3.0,1.0,35.0,1.0
28,39.0,367260.0,9.0,0.0,0.0,512000.0,4.0,11.0,6.0,4.0,3.0,4.0,39.0,0.0
29,49.0,193366.0,9.0,0.0,0.0,64000.0,4.0,11.0,6.0,1.0,3.0,4.0,39.0,0.0
30,23.0,190709.0,12.0,0.0,0.0,140608.0,2.0,7.0,6.0,11.0,3.0,4.0,39.0,0.0
31,20.0,266015.0,10.0,0.0,0.0,85184.0,4.0,15.0,6.0,12.0,3.0,2.0,39.0,0.0
32,45.0,386940.0,13.0,0.0,1408.0,64000.0,4.0,9.0,6.0,4.0,3.0,4.0,39.0,0.0
33,30.0,59951.0,10.0,0.0,0.0,64000.0,1.0,15.0,6.0,1.0,3.0,4.0,39.0,0.0
34,22.0,311512.0,10.0,0.0,0.0,3375.0,7.0,15.0,6.0,8.0,3.0,2.0,39.0,0.0
35,48.0,242406.0,7.0,0.0,0.0,64000.0,4.0,1.0,6.0,7.0,3.0,4.0,33.0,0.0
36,21.0,197200.0,10.0,0.0,0.0,64000.0,4.0,15.0,6.0,7.0,3.0,4.0,39.0,0.0
37,19.0,544091.0,9.0,0.0,0.0,15625.0,4.0,11.0,1.0,1.0,3.0,4.0,39.0,0.0
38,31.0,84154.0,10.0,0.0,0.0,54872.0,4.0,15.0,6.0,12.0,3.0,4.0,0.0,1.0
39,48.0,265477.0,12.0,0.0,0.0,64000.0,6.0,7.0,6.0,10.0,3.0,4.0,39.0,0.0
40,31.0,507875.0,5.0,0.0,0.0,79507.0,4.0,6.0,6.0,7.0,3.0,4.0,39.0,0.0
41,53.0,88506.0,13.0,0.0,0.0,64000.0,6.0,9.0,6.0,10.0,3.0,4.0,39.0,0.0
42,24.0,172987.0,13.0,0.0,0.0,125000.0,4.0,9.0,6.0,13.0,3.0,4.0,39.0,0.0
43,49.0,94638.0,9.0,0.0,0.0,64000.0,4.0,11.0,5.0,1.0,3.0,4.0,39.0,0.0
44,25.0,289980.0,9.0,0.0,0.0,42875.0,4.0,11.0,6.0,6.0,3.0,4.0,39.0,0.0
45,57.0,337895.0,13.0,0.0,0.0,64000.0,1.0,9.0,6.0,10.0,3.0,2.0,39.0,1.0
46,53.0,144361.0,9.0,0.0,0.0,54872.0,4.0,11.0,6.0,7.0,3.0,4.0,39.0,0.0
47,44.0,128354.0,14.0,0.0,0.0,64000.0,4.0,12.0,6.0,4.0,3.0,4.0,39.0,0.0
48,41.0,101603.0,11.0,0.0,0.0,64000.0,7.0,8.0,6.0,1.0,3.0,4.0,39.0,0.0
49,29.0,271466.0,11.0,0.0,0.0,79507.0,4.0,8.0,6.0,10.0,3.0,4.0,39.0,0.0
50,25.0,32275.0,10.0,0.0,0.0,64000.0,4.0,15.0,6.0,4.0,3.0,3.0,39.0,0.0
51,18.0,226956.0,9.0,0.0,0.0,27000.0,4.0,11.0,6.0,8.0,3.0,4.0,0.0,0.0
52,47.0,51835.0,15.0,0.0,1902.0,216000.0,4.0,14.0,6.0,10.0,3.0,4.0,16.0,1.0
53,50.0,251585.0,13.0,0.0,0.0,166375.0,1.0,9.0,6.0,4.0,3.0,4.0,39.0,1.0
54,47.0,109832.0,9.0,0.0,0.0,216000.0,5.0,11.0,6.0,4.0,3.0,4.0,39.0,0.0
55,43.0,237993.0,10.0,0.0,0.0,64000.0,4.0,15.0,6.0,13.0,3.0,4.0,39.0,1.0
56,46.0,216666.0,3.0,0.0,0.0,64000.0,4.0,4.0,6.0,7.0,3.0,4.0,26.0,0.0
57,35.0,56352.0,11.0,0.0,0.0,64000.0,4.0,8.0,6.0,8.0,3.0,4.0,33.0,0.0
58,41.0,147372.0,9.0,0.0,0.0,110592.0,4.0,11.0,6.0,1.0,3.0,4.0,39.0,0.0
59,30.0,188146.0,9.0,5013.0,0.0,64000.0,4.0,11.0,6.0,7.0,3.0,4.0,39.0,0.0
60,30.0,59496.0,13.0,2407.0,0.0,64000.0,4.0,9.0,6.0,12.0,3.0,4.0,39.0,0.0
61,32.0,293936.0,4.0,0.0,0.0,64000.0,0.0,5.0,3.0,0.0,3.0,4.0,0.0,0.0
62,48.0,149640.0,9.0,0.0,0.0,64000.0,4.0,11.0,6.0,14.0,3.0,4.0,39.0,0.0
63,42.0,116632.0,16.0,0.0,0.0,91125.0,4.0,10.0,6.0,10.0,3.0,4.0,39.0,1.0
64,29.0,105598.0,10.0,0.0,0.0,195112.0,4.0,15.0,6.0,13.0,3.0,4.0,39.0,0.0
65,36.0,155537.0,9.0,0.0,0.0,64000.0,4.0,11.0,6.0,1.0,3.0,4.0,39.0,0.0
66,28.0,183175.0,10.0,0.0,0.0,64000.0,4.0,15.0,6.0,1.0,3.0,4.0,39.0,0.0
67,53.0,169846.0,9.0,0.0,0.0,64000.0,4.0,11.0,6.0,1.0,3.0,4.0,39.0,1.0
68,49.0,191681.0,10.0,0.0,0.0,125000.0,5.0,15.0,6.0,4.0,3.0,4.0,39.0,1.0
69,25.0,200681.0,10.0,0.0,0.0,64000.0,0.0,15.0,6.0,0.0,3.0,4.0,39.0,0.0
70,19.0,101509.0,10.0,0.0,0.0,32768.0,4.0,15.0,6.0,10.0,3.0,4.0,39.0,0.0
71,31.0,309974.0,13.0,0.0,0.0,64000.0,4.0,9.0,5.0,12.0,3.0,2.0,39.0,0.0
72,29.0,162298.0,13.0,0.0,0.0,343000.0,6.0,9.0,6.0,12.0,3.0,4.0,39.0,1.0
73,23.0,211678.0,10.0,0.0,0.0,64000.0,4.0,15.0,6.0,7.0,3.0,4.0,39.0,0.0
74,79.0,124744.0,10.0,0.0,0.0,8000.0,4.0,15.0,6.0,10.0,2.0,4.0,39.0,0.0
75,27.0,213921.0,9.0,0.0,0.0,64000.0,4.0,11.0,6.0,8.0,3.0,4.0,26.0,0.0
76,40.0,32214.0,12.0,0.0,0.0,64000.0,4.0,7.0,6.0,1.0,3.0,4.0,39.0,0.0
77,67.0,212759.0,6.0,0.0,0.0,8.0,0.0,0.0,6.0,0.0,3.0,4.0,39.0,0.0
78,18.0,309634.0,7.0,0.0,0.0,10648.0,4.0,1.0,6.0,8.0,3.0,4.0,39.0,0.0
79,31.0,125927.0,4.0,0.0,0.0,64000.0,2.0,5.0,6.0,5.0,3.0,4.0,39.0,0.0
80,18.0,446839.0,9.0,0.0,0.0,27000.0,4.0,11.0,6.0,12.0,3.0,4.0,39.0,0.0
81,52.0,276515.0,13.0,0.0,0.0,64000.0,4.0,9.0,6.0,8.0,3.0,4.0,5.0,0.0
82,46.0,51618.0,9.0,0.0,0.0,64000.0,4.0,11.0,6.0,8.0,3.0,4.0,39.0,0.0
83,59.0,159937.0,9.0,0.0,0.0,110592.0,4.0,11.0,6.0,12.0,3.0,4.0,39.0,0.0
84,44.0,343591.0,9.0,14344.0,0.0,64000.0,4.0,11.0,6.0,1.0,3.0,4.0,39.0,1.0
85,53.0,346253.0,9.0,0.0,0.0,42875.0,4.0,11.0,6.0,12.0,3.0,4.0,39.0,0.0
86,49.0,268234.0,9.0,0.0,0.0,64000.0,2.0,11.0,6.0,11.0,3.0,4.0,39.0,1.0
87,33.0,202051.0,14.0,0.0,0.0,125000.0,4.0,12.0,6.0,10.0,3.0,4.0,39.0,0.0
88,30.0,54334.0,5.0,0.0,0.0,64000.0,4.0,6.0,6.0,12.0,3.0,4.0,39.0,0.0
89,43.0,410867.0,16.0,0.0,0.0,125000.0,1.0,10.0,6.0,10.0,3.0,4.0,39.0,1.0
90,57.0,249977.0,11.0,0.0,0.0,64000.0,4.0,8.0,6.0,10.0,3.0,4.0,39.0,0.0
91,37.0,286730.0,10.0,0.0,0.0,64000.0,4.0,15.0,6.0,1.0,3.0,4.0,39.0,0.0
92,28.0,212563.0,10.0,0.0,0.0,15625.0,4.0,15.0,6.0,7.0,3.0,2.0,39.0,0.0
93,30.0,117747.0,9.0,0.0,1573.0,42875.0,4.0,11.0,6.0,12.0,3.0,1.0,0.0,0.0
94,34.0,226296.0,13.0,0.0,0.0,64000.0,2.0,9.0,6.0,11.0,3.0,4.0,39.0,1.0
95,29.0,115585.0,10.0,0.0,0.0,125000.0,2.0,15.0,6.0,6.0,3.0,4.0,39.0,0.0
96,48.0,191277.0,16.0,0.0,1902.0,216000.0,6.0,10.0,6.0,10.0,3.0,4.0,39.0,1.0
97,37.0,202683.0,10.0,0.0,0.0,110592.0,4.0,15.0,6.0,12.0,3.0,4.0,39.0,1.0
98,48.0,171095.0,12.0,0.0,0.0,64000.0,4.0,7.0,6.0,4.0,3.0,4.0,9.0,0.0
99,32.0,249409.0,9.0,0.0,0.0,64000.0,1.0,11.0,6.0,8.0,3.0,2.0,39.0,0.0
100,76.0,124191.0,14.0,0.0,0.0,64000.0,4.0,12.0,6.0,4.0,3.0,4.0,39.0,1.0
101,44.0,198282.0,13.0,15024.0,0.0,216000.0,4.0,9.0,6.0,4.0,3.0,4.0,39.0,1.0
102,47.0,149116.0,14.0,0.0,0.0,125000.0,6.0,12.0,6.0,10.0,3.0,4.0,39.0,0.0
103,20.0,188300.0,10.0,0.0,0.0,64000.0,4.0,15.0,6.0,13.0,3.0,4.0,39.0,0.0
104,29.0,103432.0,9.0,0.0,0.0,64000.0,4.0,11.0,6.0,1.0,3.0,4.0,39.0,0.0
105,32.0,317660.0,9.0,7688.0,0.0,64000.0,5.0,11.0,6.0,1.0,3.0,4.0,39.0,1.0
106,17.0,304873.0,6.0,34095.0,0.0,32768.0,0.0,0.0,6.0,0.0,3.0,4.0,39.0,0.0
107,30.0,194901.0,7.0,0.0,0.0,64000.0,4.0,1.0,6.0,6.0,3.0,4.0,39.0,0.0
108,31.0,189265.0,9.0,0.0,0.0,64000.0,2.0,11.0,6.0,1.0,3.0,4.0,39.0,0.0
109,42.0,124692.0,9.0,0.0,0.0,64000.0,4.0,11.0,6.0,6.0,3.0,4.0,39.0,0.0
110,24.0,432376.0,13.0,0.0,0.0,64000.0,4.0,9.0,6.0,12.0,2.0,4.0,39.0,0.0
111,38.0,65324.0,15.0,0.0,0.0,64000.0,4.0,14.0,6.0,10.0,3.0,4.0,39.0,1.0
112,56.0,335605.0,9.0,0.0,1887.0,125000.0,6.0,11.0,6.0,8.0,3.0,4.0,2.0,1.0
113,28.0,377869.0,10.0,4064.0,0.0,15625.0,4.0,15.0,6.0,12.0,3.0,4.0,39.0,0.0
114,36.0,102864.0,9.0,0.0,0.0,64000.0,4.0,11.0,6.0,7.0,3.0,4.0,39.0,0.0
115,53.0,95647.0,5.0,0.0,0.0,125000.0,4.0,6.0,6.0,6.0,3.0,4.0,39.0,0.0
116,56.0,303090.0,10.0,0.0,0.0,125000.0,5.0,15.0,6.0,12.0,3.0,4.0,39.0,0.0
117,49.0,197371.0,11.0,0.0,0.0,64000.0,2.0,8.0,6.0,1.0,3.0,2.0,39.0,1.0
118,55.0,247552.0,10.0,0.0,0.0,175616.0,4.0,15.0,6.0,12.0,3.0,4.0,39.0,0.0
119,22.0,102632.0,9.0,0.0,0.0,68921.0,4.0,11.0,6.0,1.0,3.0,4.0,39.0,0.0
120,21.0,199915.0,10.0,0.0,0.0,64000.0,4.0,15.0,6.0,8.0,3.0,4.0,39.0,0.0
121,40.0,118853.0,13.0,0.0,0.0,216000.0,4.0,9.0,6.0,4.0,3.0,4.0,39.0,0.0
122,30.0,77143.0,13.0,0.0,0.0,64000.0,4.0,9.0,6.0,4.0,3.0,2.0,11.0,0.0
123,29.0,267989.0,13.0,0.0,0.0,125000.0,7.0,9.0,6.0,10.0,3.0,4.0,39.0,1.0
124,19.0,301606.0,10.0,0.0,0.0,42875.0,4.0,15.0,6.0,8.0,3.0,2.0,39.0,0.0
125,47.0,287828.0,13.0,0.0,0.0,64000.0,4.0,9.0,6.0,4.0,3.0,4.0,39.0,1.0
126,20.0,111697.0,10.0,0.0,1719.0,21952.0,4.0,15.0,6.0,1.0,3.0,4.0,39.0,0.0
127,31.0,114937.0,12.0,0.0,0.0,64000.0,4.0,7.0,6.0,1.0,3.0,4.0,39.0,1.0
128,35.0,129305.0,9.0,0.0,0.0,64000.0,0.0,11.0,6.0,0.0,3.0,4.0,39.0,0.0
129,39.0,365739.0,10.0,0.0,0.0,64000.0,4.0,15.0,6.0,1.0,3.0,4.0,39.0,0.0
130,28.0,69621.0,12.0,0.0,0.0,216000.0,4.0,7.0,6.0,12.0,3.0,4.0,39.0,0.0
131,24.0,43323.0,9.0,0.0,1762.0,64000.0,4.0,11.0,6.0,8.0,3.0,4.0,39.0,0.0
132,38.0,120985.0,9.0,4386.0,0.0,42875.0,6.0,11.0,6.0,1.0,3.0,4.0,39.0,0.0
133,37.0,254202.0,13.0,0.0,0.0,125000.0,4.0,9.0,6.0,12.0,3.0,4.0,39.0,0.0
134,46.0,146195.0,12.0,0.0,0.0,46656.0,4.0,7.0,6.0,13.0,3.0,2.0,39.0,0.0
135,38.0,125933.0,14.0,0.0,0.0,64000.0,1.0,12.0,6.0,10.0,3.0,4.0,20.0,1.0
136,43.0,56920.0,9.0,0.0,0.0,216000.0,6.0,11.0,6.0,1.0,3.0,4.0,39.0,0.0
137,27.0,163127.0,11.0,0.0,0.0,42875.0,4.0,8.0,6.0,1.0,3.0,4.0,39.0,0.0
138,20.0,34310.0,10.0,0.0,0.0,8000.0,4.0,15.0,6.0,12.0,3.0,4.0,39.0,0.0
139,49.0,81973.0,10.0,0.0,0.0,64000.0,4.0,15.0,6.0,1.0,3.0,1.0,39.0,1.0
140,61.0,66614.0,9.0,0.0,0.0,64000.0,5.0,11.0,6.0,1.0,3.0,4.0,39.0,0.0
141,27.0,232782.0,10.0,0.0,0.0,64000.0,4.0,15.0,6.0,12.0,3.0,4.0,39.0,0.0
142,19.0,316868.0,10.0,0.0,0.0,27000.0,4.0,15.0,6.0,8.0,3.0,4.0,26.0,0.0
143,45.0,196584.0,11.0,0.0,1564.0,64000.0,4.0,8.0,6.0,10.0,3.0,4.0,39.0,1.0
144,70.0,105376.0,10.0,0.0,0.0,64000.0,4.0,15.0,6.0,13.0,2.0,4.0,39.0,0.0
145,31.0,185814.0,9.0,0.0,0.0,27000.0,4.0,11.0,6.0,14.0,3.0,2.0,39.0,0.0
146,22.0,175374.0,10.0,0.0,0.0,13824.0,4.0,15.0,6.0,8.0,3.0,4.0,39.0,0.0
147,36.0,108293.0,9.0,0.0,0.0,13824.0,4.0,11.0,6.0,8.0,3.0,4.0,39.0,0.0
148,64.0,181232.0,7.0,0.0,2179.0,64000.0,4.0,1.0,6.0,1.0,3.0,4.0,39.0,0.0
149,43.0,174662.0,10.0,0.0,0.0,64000.0,0.0,15.0,6.0,0.0,3.0,4.0,39.0,0.0
150,47.0,186009.0,10.0,0.0,0.0,54872.0,2.0,15.0,6.0,1.0,3.0,4.0,26.0,0.0
151,34.0,198183.0,9.0,0.0,0.0,64000.0,4.0,11.0,6.0,1.0,3.0,4.0,39.0,0.0
152,33.0,163003.0,13.0,0.0,0.0,64000.0,4.0,9.0,6.0,4.0,2.0,1.0,30.0,0.0
153,21.0,296158.0,9.0,0.0,0.0,42875.0,4.0,11.0,6.0,1.0,3.0,4.0,39.0,0.0
154,52.0,252903.0,9.0,0.0,0.0,91125.0,0.0,11.0,6.0,0.0,3.0,4.0,39.0,1.0
155,48.0,187715.0,9.0,0.0,0.0,97336.0,4.0,11.0,6.0,1.0,3.0,4.0,39.0,0.0
156,23.0,214542.0,13.0,0.0,0.0,64000.0,4.0,9.0,6.0,6.0,3.0,4.0,39.0,0.0
157,71.0,494223.0,10.0,0.0,1816.0,8.0,6.0,15.0,5.0,12.0,3.0,2.0,39.0,0.0
158,29.0,191535.0,9.0,0.0,0.0,216000.0,4.0,11.0,6.0,1.0,3.0,4.0,39.0,0.0
159,42.0,228456.0,13.0,0.0,0.0,125000.0,4.0,9.0,5.0,8.0,2.0,2.0,39.0,0.0
160,68.0,38317.0,2.0,0.0,0.0,8000.0,0.0,3.0,6.0,0.0,3.0,4.0,39.0,0.0
161,25.0,252752.0,9.0,0.0,0.0,64000.0,4.0,11.0,6.0,8.0,3.0,4.0,39.0,0.0
162,44.0,78374.0,14.0,0.0,0.0,64000.0,5.0,12.0,6.0,4.0,3.0,1.0,39.0,0.0
163,28.0,88419.0,9.0,0.0,0.0,64000.0,4.0,11.0,6.0,4.0,3.0,1.0,9.0,0.0
164,45.0,201080.0,14.0,0.0,0.0,64000.0,6.0,12.0,6.0,12.0,3.0,4.0,39.0,1.0
165,36.0,207157.0,10.0,0.0,0.0,64000.0,4.0,15.0,6.0,8.0,3.0,4.0,26.0,0.0
166,39.0,235485.0,12.0,0.0,0.0,74088.0,1.0,7.0,6.0,4.0,3.0,4.0,39.0,0.0
167,46.0,102628.0,14.0,0.0,0.0,64000.0,7.0,12.0,6.0,11.0,3.0,4.0,39.0,0.0
168,18.0,25828.0,7.0,0.0,0.0,4096.0,4.0,1.0,6.0,6.0,3.0,4.0,39.0,0.0
169,66.0,54826.0,11.0,0.0,0.0,8000.0,2.0,8.0,6.0,10.0,3.0,4.0,39.0,0.0
170,27.0,124953.0,9.0,0.0,1980.0,64000.0,4.0,11.0,6.0,8.0,3.0,4.0,39.0,0.0
171,28.0,175325.0,9.0,0.0,0.0,64000.0,7.0,11.0,6.0,11.0,3.0,4.0,39.0,0.0
172,51.0,96062.0,10.0,0.0,1977.0,64000.0,4.0,15.0,6.0,12.0,3.0,4.0,39.0,1.0
173,27.0,428030.0,13.0,0.0,0.0,125000.0,4.0,9.0,6.0,1.0,3.0,4.0,39.0,0.0
174,28.0,149624.0,13.0,0.0,0.0,64000.0,7.0,9.0,6.0,10.0,3.0,4.0,39.0,1.0
175,27.0,253814.0,9.0,0.0,0.0,15625.0,4.0,11.0,3.0,12.0,3.0,4.0,39.0,0.0
176,21.0,312956.0,9.0,0.0,0.0,64000.0,4.0,11.0,6.0,1.0,3.0,2.0,39.0,0.0
177,34.0,483777.0,9.0,0.0,0.0,64000.0,4.0,11.0,6.0,6.0,3.0,2.0,39.0,0.0
178,18.0,183930.0,9.0,0.0,0.0,1728.0,4.0,11.0,6.0,8.0,3.0,4.0,39.0,0.0
179,33.0,37274.0,13.0,0.0,0.0,274625.0,4.0,9.0,6.0,10.0,3.0,4.0,39.0,0.0
180,44.0,181344.0,10.0,0.0,0.0,54872.0,2.0,15.0,6.0,4.0,3.0,2.0,39.0,1.0
181,43.0,114580.0,10.0,0.0,0.0,64000.0,4.0,15.0,6.0,1.0,3.0,4.0,39.0,0.0
182,30.0,633742.0,10.0,0.0,0.0,91125.0,4.0,15.0,6.0,1.0,3.0,2.0,39.0,0.0
183,40.0,286370.0,4.0,0.0,0.0,64000.0,4.0,5.0,6.0,7.0,3.0,4.0,26.0,1.0
184,37.0,29054.0,10.0,0.0,0.0,74088.0,1.0,15.0,6.0,1.0,3.0,4.0,39.0,1.0
185,34.0,304030.0,9.0,0.0,0.0,64000.0,4.0,11.0,6.0,1.0,3.0,2.0,39.0,0.0
186,41.0,143129.0,13.0,0.0,0.0,64000.0,6.0,9.0,6.0,4.0,3.0,4.0,39.0,0.0
187,53.0,135105.0,13.0,0.0,0.0,125000.0,0.0,9.0,6.0,0.0,3.0,4.0,39.0,0.0
188,31.0,99928.0,14.0,0.0,0.0,125000.0,4.0,12.0,6.0,10.0,3.0,4.0,39.0,0.0
189,58.0,109567.0,16.0,0.0,0.0,1.0,7.0,10.0,6.0,10.0,3.0,4.0,39.0,1.0
190,38.0,155222.0,10.0,0.0,0.0,21952.0,4.0,15.0,6.0,7.0,3.0,2.0,39.0,0.0
191,24.0,159567.0,10.0,0.0,0.0,64000.0,4.0,15.0,6.0,7.0,3.0,4.0,39.0,0.0
192,41.0,523910.0,13.0,0.0,0.0,64000.0,2.0,9.0,6.0,1.0,3.0,2.0,39.0,0.0
193,47.0,120939.0,10.0,0.0,0.0,91125.0,4.0,15.0,6.0,13.0,3.0,4.0,39.0,0.0
194,41.0,130760.0,13.0,0.0,0.0,13824.0,1.0,9.0,6.0,13.0,3.0,4.0,39.0,0.0
195,23.0,197387.0,3.0,0.0,0.0,64000.0,4.0,4.0,6.0,14.0,2.0,4.0,26.0,0.0
196,36.0,99374.0,10.0,0.0,0.0,64000.0,4.0,15.0,6.0,1.0,3.0,4.0,39.0,0.0
197,40.0,56795.0,14.0,14084.0,0.0,166375.0,1.0,12.0,6.0,4.0,3.0,4.0,39.0,1.0
198,35.0,138992.0,14.0,7298.0,0.0,64000.0,4.0,12.0,6.0,10.0,2.0,4.0,39.0,1.0
199,24.0,32921.0,9.0,0.0,0.0,64000.0,6.0,11.0,6.0,12.0,3.0,4.0,39.0,0.0
200,26.0,397317.0,14.0,0.0,1876.0,64000.0,4.0,12.0,6.0,10.0,3.0,4.0,39.0,0.0
201,19.0,170653.0,9.0,0.0,0.0,64000.0,0.0,11.0,6.0,0.0,3.0,4.0,22.0,0.0
202,51.0,259323.0,13.0,0.0,0.0,125000.0,4.0,9.0,6.0,4.0,3.0,4.0,39.0,1.0
203,42.0,254817.0,10.0,0.0,1340.0,64000.0,2.0,15.0,6.0,10.0,3.0,4.0,39.0,0.0
204,37.0,48211.0,9.0,0.0,0.0,42875.0,7.0,11.0,6.0,1.0,3.0,4.0,39.0,0.0
205,18.0,140164.0,7.0,0.0,0.0,64000.0,4.0,1.0,6.0,12.0,3.0,4.0,39.0,0.0
206,36.0,128757.0,13.0,7298.0,0.0,46656.0,4.0,9.0,6.0,8.0,3.0,2.0,39.0,1.0
207,35.0,36270.0,9.0,0.0,0.0,216000.0,4.0,11.0,6.0,1.0,3.0,4.0,39.0,0.0
208,58.0,210563.0,9.0,15024.0,0.0,42875.0,5.0,11.0,6.0,12.0,3.0,4.0,39.0,1.0
209,17.0,65368.0,7.0,0.0,0.0,1728.0,4.0,1.0,6.0,12.0,3.0,4.0,39.0,0.0
210,44.0,160943.0,9.0,0.0,0.0,64000.0,2.0,11.0,6.0,14.0,3.0,2.0,39.0,0.0
211,37.0,208358.0,9.0,0.0,0.0,64000.0,4.0,11.0,6.0,1.0,3.0,4.0,39.0,1.0
212,35.0,153790.0,10.0,0.0,0.0,64000.0,4.0,15.0,6.0,12.0,3.0,0.0,39.0,0.0
213,60.0,85815.0,9.0,0.0,0.0,64000.0,4.0,11.0,6.0,1.0,3.0,1.0,39.0,0.0
214,54.0,125417.0,4.0,0.0,0.0,64000.0,5.0,5.0,6.0,7.0,3.0,4.0,39.0,1.0
215,37.0,635913.0,13.0,0.0,0.0,216000.0,4.0,9.0,6.0,4.0,3.0,2.0,39.0,1.0
216,50.0,313321.0,12.0,0.0,0.0,64000.0,4.0,7.0,6.0,12.0,3.0,4.0,39.0,0.0
217,38.0,182609.0,13.0,0.0,0.0,125000.0,4.0,9.0,6.0,12.0,3.0,4.0,31.0,0.0
218,45.0,109434.0,13.0,0.0,0.0,166375.0,4.0,9.0,6.0,10.0,3.0,4.0,39.0,0.0
219,25.0,255004.0,6.0,0.0,0.0,64000.0,4.0,0.0,6.0,1.0,3.0,4.0,39.0,0.0
220,31.0,197860.0,10.0,0.0,0.0,64000.0,4.0,15.0,6.0,6.0,3.0,4.0,39.0,0.0
221,64.0,187656.0,2.0,0.0,0.0,64000.0,0.0,3.0,6.0,0.0,3.0,4.0,39.0,0.0
222,90.0,51744.0,9.0,0.0,2206.0,64000.0,4.0,11.0,6.0,8.0,3.0,2.0,39.0,0.0
223,54.0,176681.0,9.0,0.0,0.0,8000.0,4.0,11.0,6.0,1.0,3.0,2.0,39.0,0.0
224,53.0,140359.0,1.0,0.0,0.0,42875.0,2.0,13.0,6.0,7.0,3.0,4.0,39.0,0.0
225,18.0,243313.0,9.0,0.0,0.0,64000.0,4.0,11.0,6.0,12.0,3.0,4.0,39.0,0.0
226,60.0,24215.0,6.0,0.0,0.0,1000.0,0.0,0.0,6.0,0.0,3.0,0.0,39.0,0.0
227,66.0,167687.0,9.0,1409.0,0.0,125000.0,6.0,11.0,6.0,5.0,3.0,4.0,39.0,0.0
228,75.0,314209.0,11.0,0.0,0.0,8000.0,4.0,8.0,6.0,1.0,3.0,4.0,4.0,0.0
229,65.0,176796.0,9.0,0.0,0.0,64000.0,4.0,11.0,6.0,1.0,3.0,4.0,39.0,0.0
230,35.0,538583.0,7.0,3674.0,0.0,64000.0,4.0,1.0,5.0,14.0,3.0,2.0,39.0,0.0
